month,events,hours,unique_listeners
2023-08,90,1.67,6
2023-09,1849,340.22,154
2023-10,965,246.51,115
2023-11,783,171.22,96
2023-12,744,196.21,74
2024-01,839,212.1,112
2024-02,1412,407.39,137
2024-03,3383,990.19,209
2024-04,2280,697.63,160
2024-05,1295,343.55,155
2024-06,2063,450.75,178
2024-07,1729,418.76,162
2024-08,1503,388.31,201
2024-09,3062,816.89,228
2024-10,1400,493.81,182
2024-11,1204,408.28,145
2024-12,1187,566.71,128
2025-01,1120,418.54,136
2025-02,1683,512.76,161
2025-03,3820,752.06,287
2025-04,2687,622.63,279
2025-05,3485,845.47,314
2025-06,3075,845.87,262
2025-07,6885,1082.03,246
2025-08,3287,801.58,242
2025-09,6061,1159.76,308
2025-10,12351,1032.1,297
2025-11,6299,1035.36,291
2025-12,4024,936,384
2026-01,7466,1604.63,459
2026-02,9158,1926.34,420
2026-03,10700,1980.97,409
2026-04,5820,1678.63,373
2026-05,5028,1551.31,330
2026-06,301,72.38,47
